1641045600000,3706.6,3715.1
1641045600665,3706.7,3715.1
1641045601664,3706.5,3715
1641045602141,3706.3,3714.8
1641045603154,3706,3714.5
1641045604167,3705.8,3714.3
1641045604293,3705.7,3714.2
1641045604747,3705.8,3714.3
1641045605146,3706,3714.5
1641045608652,3705.9,3714.4
1641045608795,3706,3714.5
1641045609147,3706.1,3714.6
1641045609248,3706.2,3714.7
1641045610148,3706.3,3714.8
1641045611647,3706,3714.5
1641045612654,3706.2,3714.7
1641045613155,3706.3,3714.8
1641045613651,3706.5,3715
1641045614648,3706.7,3715.2
1641045614805,3706.8,3715.3
1641045615149,3707.1,3715.6
1641045615555,3707.2,3715.7
1641045615699,3707.4,3715.9
1641045616149,3707.3,3715.8
1641045616648,3707.2,3715.7
1641045617151,3707.1,3715.6
1641045618944,3707.2,3715.7
1641045619655,3706.9,3715.4
1641045620148,3707,3715.5
1641045620645,3707.1,3715.6
1641045621146,3707.2,3715.7
1641045622349,3707.1,3715.6
1641045622648,3707.4,3715.9
1641045622846,3707.5,3716
1641045623147,3707.4,3715.9
1641045624651,3707.3,3715.8
1641045625142,3707.4,3715.9
1641045625648,3706.9,3715.4
1641045627143,3707.1,3715.6
1641045627570,3707.2,3715.7
1641045627696,3707.6,3716.1
1641045629446,3707.5,3716
1641045629643,3707.4,3715.9
1641045632169,3707.5,3716
1641045633143,3707.4,3715.9
1641045634653,3707.3,3715.8
1641045635154,3707.2,3715.7
1641045636147,3707,3715.5
1641045636655,3707,3715.4
1641045637146,3706.9,3715.4
1641045638685,3706.8,3715.3
1641045639153,3706.8,3715.2
1641045639675,3706.8,3715.3
1641045640145,3706.9,3715.4
1641045641668,3706.7,3715.2
1641045642153,3707.2,3715.7
1641045642653,3706.9,3715.4
1641045643154,3706.7,3715.2
1641045644657,3706.6,3715.1
1641045645147,3706.5,3714.8
1641045645198,3706.3,3714.8
1641045646147,3706.3,3714.7
1641045646348,3706.3,3714.8
1641045647651,3706.4,3714.9
1641045649650,3706.5,3715
1641045650658,3706.6,3715.1
1641045651146,3706.5,3715
1641045651349,3706.6,3715.1
1641045651645,3706.5,3715
1641045654551,3706.6,3715.1
1641045655148,3706.5,3715
1641045676692,3706.2,3714.7
1641045679194,3706.3,3714.8
1641045680650,3706.2,3714.7
1641045683312,3706.2,3714.7
1641045684286,3706.2,3714.7
1641045687149,3706.3,3714.8
1641045694166,3706.2,3714.7
1641045694673,3706.3,3714.8
1641045695661,3706.4,3714.9
1641045697693,3706.8,3715.3
1641045698153,3706.5,3715
1641045698658,3707,3715.5
1641045702185,3706.8,3715.3
1641045702670,3707.1,3715.6
1641045703167,3706.7,3715.2
1641045703670,3707.1,3715.6
1641045709181,3706.7,3715.2
1641045709655,3705.5,3713.9
1641045710163,3705.6,3714.1
1641045710655,3705.5,3714
1641045713651,3705.6,3714.1
1641045714345,3705.7,3714.2
1641045714648,3706,3714.4
1641045715156,3705.8,3714.3
1641045715346,3705.9,3714.4
1641045715544,3706,3714.5
1641045716746,3706,3714.4
1641045717143,3706.3,3714.8